x,y,targets
RNA1{r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(G)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(C)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,64.8,NM_003337
RNA1{r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(G)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(C)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,86.3,NM_003337
RNA1{r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(G)p.r(U)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(A)p.r(C)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,72.2,NM_003337
RNA1{r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,50,NM_003337
RNA1{r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,77.2,NM_003337
RNA1{r(U)p.r(A)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(U)p.r(A)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,47.9,NM_003337
RNA1{r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,46.7,NM_003337
RNA1{r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,63.5,NM_003337
RNA1{r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,69.4,NM_003337
RNA1{r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,75.7,NM_003337
RNA1{r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,62.6,NM_003337
RNA1{r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,73,NM_003337
RNA1{r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,46,NM_003337
RNA1{r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,63.5,NM_003337
RNA1{r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,84.6,NM_003337
RNA1{r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,48.2,NM_003337
RNA1{r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(A)p.r(C)p.r(U)p.r(G)p.r(U)p.r(U)p.r(A)p.r(G)p.r(G)p.r(U)p.r(U)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(A)p.r(A)p.r(C)p.r(C)p.r(U)p.r(A)p.r(A)p.r(C)p.r(A)p.r(G)p.r(U)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,69.7,NM_003337
RNA1{r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(A)p.r(C)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(G)p.r(U)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,61.8,NM_003337
RNA1{r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.d(A)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,77.7,NM_003337
RNA1{r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,80.1,NM_003337
RNA1{r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,82.5,NM_003337
RNA1{r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,85.3,NM_003337
RNA1{r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,63.7,NM_003337
RNA1{r(U)p.r(A)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(U)p.r(A)p.d(G)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,72.3,NM_003337
RNA1{r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,47.5,NM_003337
RNA1{r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,46.7,NM_003337
RNA1{r(G)p.r(U)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(U)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(A)p.r(C)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,86.2,NM_003337
RNA1{r(A)p.r(G)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(C)p.r(C)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(G)p.r(G)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(C)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,78.1,NM_003337
RNA1{r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(C)p.r(C)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(G)p.r(G)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,79.8,NM_003337
RNA1{r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(C)p.r(C)p.r(A)p.r(G)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(C)p.r(U)p.r(G)p.r(G)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.d(G)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,79,NM_003337
RNA1{r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(C)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(G)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,81.7,NM_003337
RNA1{r(A)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(C)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(G)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,53.2,NM_003337
RNA1{r(G)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(C)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,84.6,NM_003337
RNA1{r(C)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(G)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,83.5,NM_003337
RNA1{r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.d(G)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,55,NM_003337
RNA1{r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,56.4,NM_003337
RNA1{r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,48.3,NM_003337
RNA1{r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.d(G)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,50.8,NM_003337
RNA1{r(G)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(C)p.d(G)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,74.2,NM_003337
RNA1{r(G)p.r(C)p.r(G)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(C)p.r(G)p.r(C)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,72.8,NM_003337
RNA1{r(C)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(C)p.r(G)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(C)p.r(G)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(G)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,61.8,NM_003337
RNA1{r(A)p.r(C)p.r(C)p.r(U)p.r(G)p.r(U)p.r(G)p.r(G)p.r(G)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(C)p.r(C)p.r(C)p.r(A)p.r(C)p.r(A)p.r(G)p.r(G)p.r(U)p.d(G)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,76.7,NM_003337
RNA1{r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(G)p.r(G)p.r(A)p.r(C)p.r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(U)p.r(G)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(C)p.r(A)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.r(G)p.r(U)p.r(C)p.r(C)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,61.1,NM_003337
RNA1{r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(G)p.r(C)p.r(G)p.r(G)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(C)p.r(C)p.r(G)p.r(C)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,45.5,NM_003337
RNA1{r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(G)p.r(C)p.r(G)p.r(G)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(C)p.r(C)p.r(G)p.r(C)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.d(C)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,78.2,NM_003337
RNA1{r(C)p.r(G)p.r(G)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(G)p.r(C)p.r(G)p.r(G)p.r(U)p.r(U)p.r(A)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(U)p.r(A)p.r(A)p.r(C)p.r(C)p.r(G)p.r(C)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(C)p.r(C)p.r(G)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,85.1,NM_003337
